Waterpoint,zebra,wildebeest,oryx,eland,elephant,impala,rhino,giraffe,kudu,springbok,time_range_days,RAI_zebra,RAI_wildebeest,RAI_oryx,RAI_eland,RAI_elephant,RAI_impala,RAI_rhino,RAI_giraffe,RAI_kudu,RAI_springbok,Woody.fraction,Herbaceous.fraction,Bare.fraction,Site,Area..ha.,Week,Grazing_units_absolute,Browsing_units_absolute,Grazing_percentage_zebra,Browsing_percentage_zebra,Grazing_percentage_wildebeest,Browsing_percentage_wildebeest,Grazing_percentage_oryx,Browsing_percentage_oryx,Grazing_percentage_eland,Browsing_percentage_eland,Grazing_percentage_elephant,Browsing_percentage_elephant,Grazing_percentage_impala,Browsing_percentage_impala,Grazing_percentage_rhino,Browsing_percentage_rhino,Grazing_percentage_giraffe,Browsing_percentage_giraffe,Grazing_percentage_kudu,Browsing_percentage_kudu,Grazing_percentage_springbok,Browsing_percentage_springbok,Grazing_units_per_1000ha,Browsing_units_per_1000ha
B1,29,3,4,3,2,37,18,17,7,0,11.23553241,2.58109709,0.267010044,0.356013392,0.267010044,0.178006696,3.293123873,1.602060263,1.513056915,0.623023435,0,0.6375721,0.23959127,0.12283663,B1,3170.345282,5,5.230726759,15.47412207,60.69423174,1.834809617,4.44104135,0.276084206,5.649140721,0.782238583,5.10464523,2.10514207,9.324485287,12.75739101,8.814020756,4.681927987,3.675344563,37.37489934,0.867789689,36.76521339,1.429300662,3.422293796,0,0,6.886276882,7.655439888
B2,18,0,3,0,0,30,18,59,18,0,11.21274306,1.605316372,0,0.267552729,0,0,2.675527286,1.605316372,5.26187033,1.605316372,0,0.6990765,0.2138661,0.087057345,B2,1237.187186,5,3.114313762,27.80051219,63.40206185,0.635185423,0,0,7.130584201,0.327216733,0,0,0,0,12.02749141,2.117284742,6.18556701,20.8456307,5.068728522,71.16643141,6.18556701,4.908250995,0,0,11.77023142,32.14346425
B3,44,7,27,1,3,116,6,17,14,0,11.20525463,3.926729151,0.62470691,2.409583797,0.089243844,0.267731533,10.35228594,0.535463066,1.517145354,1.249413821,0,0.5095692,0.35029477,0.14013608,B3,1480.765,5,9.905174282,15.40616485,48.76114966,2.80368418,5.486980806,0.648786421,20.1910082,5.317731564,0.900982067,0.706713778,7.40607262,19.27243237,14.63194882,14.78306204,0.648707091,12.54706598,0.459500856,37.02716794,1.513649879,6.893355734,0,0,19.09599655,20.41762532
B14,3,8,5,0,27,13,2,3,8,0,11.16083333,0.268797133,0.716792354,0.447995221,0,2.419174195,1.164787576,0.179198089,0.268797133,0.716792354,0,0.39439645,0.39619225,0.20941132,B14,1196.438789,34,8.233256177,29.64832375,4.015670914,0.099728015,7.574273587,0.386823814,4.51626945,0.513750377,0,0,80.5093046,90.48957388,1.980629014,0.864309459,0.261181849,2.181928081,0.097943193,3.408884862,1.044727391,2.055001511,0,0,17.36901412,62.83138928
B8,1,1,18,1,23,41,17,28,6,0,10.25143519,0.097547317,0.097547317,1.75585171,0.097547317,2.243588296,3.999440006,1.658304393,2.731324882,0.585283903,0,0.51847047,0.38638505,0.095144555,B8,1764.235705,13,8.818277476,43.25735782,1.360619466,0.024805502,0.962389378,0.036080731,16.52654867,1.380087947,1.106194688,0.27511557,69.71238939,57.51944977,6.349557523,2.03405119,2.256637169,13.83921525,0.92920354,23.74112076,0.796460177,1.150073288,0,0,12.93620349,47.29109348
B14,38,41,11,2,21,93,4,8,17,1,10.25114583,3.706902684,3.999552896,1.073050777,0.195100141,2.048551483,9.072156568,0.390200282,0.780400565,1.658351201,0.097550071,0.39439645,0.39619225,0.20941132,B14,1196.438789,29,16.27818029,32.14177277,28.00982801,1.268627273,21.37592138,1.99095572,5.471324984,1.13508756,1.198537782,0.740538407,34.48193204,70.68196304,7.802480973,6.20959665,0.287649068,4.382530572,0.143824534,9.129260373,1.22250854,4.385565572,0.005992689,0.075874837,34.34071977,68.11556208
B14,0,5,2,0,2,35,4,6,0,0,10.17582176,0,0.491360808,0.196544323,0,0.196544323,3.439525655,0.393088646,0.589632969,0,0,0.39439645,0.39619225,0.20941132,B14,1196.438789,5,1.675540354,6.717884961,0,0,25.51319649,1.170275016,9.736070377,0.994733762,0,0,32.14076245,32.44587478,28.73900294,11.26389702,2.815249266,21.12346401,1.055718475,33.00175541,0,0,0,0,3.534747789,14.23669172
B10,10,2,6,0,3,16,15,11,8,0,10.15548611,0.984689447,0.196937889,0.590813668,0,0.295406834,1.575503115,1.47703417,1.083158391,0.787751557,0,0.42945632,0.3802739,0.19026981,B10,1033.385621,13,3.207133528,14.03773275,37.76481426,0.771604939,5.342339567,0.224466891,15.2901443,1.430976431,0,0,25.23794903,23.33754209,6.877494628,2.469135803,5.526558182,37.98400674,1.013202333,29.01234567,2.947497696,4.769921435,0,0,8.161276823,31.63119194
B14,1,1,2,0,0,20,2,5,0,0,10.15414352,0.098481964,0.098481964,0.196963929,0,0,1.969639287,0.196963929,0.492409822,0,0,0.39439645,0.39619225,0.20941132,B14,1196.438789,13,0.684449652,3.089379224,17.69784168,0.350653489,12.51798558,0.510041439,23.88489214,2.167676126,0,0,0,0,40.28776981,14.02613961,3.453237418,23.01562004,2.158273384,59.92986929,0,0,0,0,1.443926365,6.547081389
B6,0,1,4,13,11,2,29,3,10,0,10.088125,0,0.099126448,0.396505793,1.288643826,1.09039093,0.198252896,2.874666997,0.297379345,0.991264482,0,0.50493085,0.37326506,0.121804066,B6,1831.570135,13,5.192243355,26.19713773,0,0,1.660939287,0.060541849,6.338297065,0.514605722,24.81863306,6.001210835,57.5410462,46.15937642,0.534555173,0.166490086,6.643757159,39.61328893,0.171821306,4.2682004,2.290950745,3.216285758,0,0,7.594761614,28.3268566
