Waterpoint,zebra,wildebeest,oryx,eland,elephant,impala,rhino,giraffe,kudu,springbok,time_range_days,RAI_zebra,RAI_wildebeest,RAI_oryx,RAI_eland,RAI_elephant,RAI_impala,RAI_rhino,RAI_giraffe,RAI_kudu,RAI_springbok,Woody.fraction,Herbaceous.fraction,Bare.fraction,Site,Area..ha.,Year,Grazing_units_absolute,Browsing_units_absolute,Grazing_percentage_zebra,Browsing_percentage_zebra,Grazing_percentage_wildebeest,Browsing_percentage_wildebeest,Grazing_percentage_oryx,Browsing_percentage_oryx,Grazing_percentage_eland,Browsing_percentage_eland,Grazing_percentage_elephant,Browsing_percentage_elephant,Grazing_percentage_impala,Browsing_percentage_impala,Grazing_percentage_rhino,Browsing_percentage_rhino,Grazing_percentage_giraffe,Browsing_percentage_giraffe,Grazing_percentage_kudu,Browsing_percentage_kudu,Grazing_percentage_springbok,Browsing_percentage_springbok,Grazing_units_per_1000ha,Browsing_units_per_1000ha
SUI,63,10,15,10,22,100,5,3,71,0,7.010416667,8.986627043,1.426448737,2.139673105,1.426448737,3.138187221,14.26448737,0.713224368,0.427934621,10.12778603,0,0.62644964,0.3292156,0.0443349,SUI,3009.687842,2021,27.40635958,54.41759287,40.33206683,1.816561378,4.528184042,0.41940811,6.479987508,1.336863352,5.204809244,3.197986841,31.37459012,63.95449422,7.286732941,5.766861517,0.312288555,4.731447744,0.046843283,2.956827178,4.434497476,15.81954966,0,0,27.65982903,28.86235135
TIE,8,9,27,4,12,170,26,9,35,24,6.965972222,1.148439837,1.291994816,3.875984448,0.574219918,1.722659755,24.40434653,3.732429469,1.291994816,5.024424285,3.44531951,0.45217177,0.5065328,0.041295376,TIE,1874.532807,2021,15.58863523,50.28874489,9.061607883,0.251206075,7.210608712,0.411064486,20.63725942,2.620536097,3.68358044,1.393051868,30.27903122,37.98920956,21.91730362,10.67625817,2.873192743,26.79341155,0.24864168,9.660015415,3.867759462,8.492478091,0.221014826,1.712768691,16.41751707,59.32999424
ADC,19,15,37,11,46,382,26,9,106,104,19.025,0.99868594,0.788436268,1.944809461,0.578186597,2.417871222,20.07884363,1.366622865,0.473061761,5.571616294,5.466491459,0.5156612,0.41968256,0.06465625,ADC,2831.733892,2022,14.44415243,45.64888305,8.504366812,0.240653103,4.748908297,0.27634806,11.17540029,1.448524417,4.002911208,1.545246238,45.86608443,58.74008313,19.46142649,9.676787914,1.135371179,10.80751206,0.098253275,3.896507651,4.628820961,10.37456677,0.37845706,2.993770654,12.15398516,31.26174829
ALL,11,21,53,21,27,199,82,12,21,7,17.20555556,0.639328382,1.220536003,3.080400387,1.220536003,1.569260575,11.56603164,4.765902486,0.697449144,1.220536003,0.406845334,0.6029171,0.3699463,0.027136529,ALL,2883.361025,2022,12.28789151,43.71611237,6.399583767,0.160870028,8.64156655,0.446713465,20.80692461,2.395766858,9.932835115,3.406190172,34.99195913,39.80934907,13.17756125,5.820570091,4.65424274,39.35598809,0.170277173,5.998723676,1.191940214,2.373165284,0.03310945,0.232663263,11.51965987,25.14692626
MAR,14,10,20,20,11,425,44,5,161,1,18.02222222,0.776818742,0.55487053,1.10974106,1.10974106,0.610357583,23.58199753,2.441430333,0.277435265,8.933415536,0.055487053,0.4794424,0.4630654,0.05749219,MAR,3030.129684,2022,9.81676942,31.32632552,9.733212752,0.27277397,4.917476826,0.283401527,9.382771874,1.204456489,11.30454443,4.321873284,17.03594845,21.60759516,33.63101967,16.56127672,2.984399729,28.13468658,0.084784083,3.32996794,10.92018992,24.23968684,0.005652272,0.044281489,6.996245529,21.56313004
OGL,13,37,130,10,35,337,44,22,95,3,18.96597222,0.685438102,1.95086229,6.854381019,0.527260078,1.845410274,17.76866464,2.319944345,1.159972172,5.008970744,0.158178024,0.49392694,0.44590577,0.060167294,OGL,3318.463747,2022,17.21662334,44.76965325,4.896946682,0.168413614,9.858205984,0.697208809,33.04443696,5.205511718,3.062505742,1.436815452,29.36943007,45.713108,14.44890209,8.731598163,1.617003032,18.70686609,0.202125379,9.742079849,3.491256546,9.510069485,0.009187517,0.088328819,11.63503807,27.31391408
ONG,102,42,89,70,46,497,27,74,201,60,18.92013889,5.391080932,2.219856854,4.703982382,3.699761424,2.431271793,26.26830611,1.427050835,3.911176363,10.62360066,3.171224078,0.5430762,0.42582178,0.031101998,ONG,2456.153919,2022,28.10074509,69.48363369,23.59734422,0.853465588,6.872684184,0.511166555,13.89395678,2.301770827,13.16606165,6.496074971,23.70643444,38.80453965,13.08706528,8.317105824,0.609400568,7.414197043,0.417552241,21.16472951,4.536648673,12.99595326,0.112851957,1.140996775,26.86794095,52.09141713
OTC,20,45,30,43,40,245,34,27,150,12,19.03472222,1.050711419,2.364100693,1.576067129,2.259029551,2.101422838,12.87121489,1.786209413,1.418460416,7.880335644,0.630426852,0.56534624,0.39428565,0.040368065,OTC,2299.049735,2022,15.68502007,48.55967895,8.239549839,0.238012809,13.11294212,0.778951013,8.340032154,1.103513935,14.40246517,5.675523628,36.70953912,47.99203739,11.48847803,5.831313831,1.366559486,13.27895101,0.271302251,10.98320928,6.028938907,13.79392418,0.040192926,0.324562922,17.30317264,37.36052171
RAI,150,70,105,9,13,177,49,7,19,12,17.02083333,8.812729498,4.112607099,6.168910649,0.52876377,0.76376989,10.39902081,2.878824969,0.41126071,1.11627907,0.70501836,0.52959716,0.41710842,0.053294376,RAI,2994.925211,2022,24.11397797,28.19192166,44.95175909,3.438574555,14.83773511,2.334062728,21.23331059,7.439824945,2.192768736,2.288215067,8.678491375,30.04480567,6.037423253,8.115035949,1.432608908,36.86360321,0.051164604,5.485047411,0.555501413,3.365635094,0.029236916,0.625195374,19.30340494,17.77432229
ROL,12,20,78,28,26,21,60,5,64,1,17.02013889,0.705047126,1.175078543,4.582806316,1.64510996,1.527602105,1.23383247,3.525235628,0.293769636,3.760251336,0.058753927,0.6299326,0.34801912,0.022048274,ROL,2185.524736,2022,12.58039088,38.0848831,6.893330843,0.20363771,8.126284327,0.493667176,30.23538203,4.091266719,13.07677938,5.269897101,33.27106296,44.48249796,1.373061834,0.712731985,3.362600411,33.41509696,0.070054175,2.900294658,3.586773772,8.392341988,0.004670278,0.038567748,16.53999234,27.66322546
SON,5,12,6,1,0,2,1,3,0,1,0.993055556,5.034965035,12.08391608,6.041958042,1.006993007,0,2.013986014,1.006993007,3.020979021,0,1.006993007,0.3736317,0.47758645,0.14878191,SON,1369.85424,2022,23.23132867,21.45902098,26.6579974,2.580947912,45.25357607,9.009854528,21.58647594,9.572970436,4.334633723,5.725011732,0,0,1.213697443,2.064758329,0.520156047,16.94040357,0.390117035,52.93289535,0,0,0.043346337,1.173158142,35.50975652,41.92681095
